XOM(t),CVX(t),COP(t),EOG(t),XOM(t-1),CVX(t-1),COP(t-1),EOG(t-1),XOM(t-2),CVX(t-2),COP(t-2),EOG(t-2),XOM(t-3),CVX(t-3),COP(t-3),EOG(t-3),Y(t)
1.0,0.6784121107451088,0.4151347260663903,0.8269421653090572,0.9980289279745276,0.6725388409410885,0.41116362861755285,0.8238708923839859,0.9961743632474379,0.6670923333321418,0.407421176851893,0.8206429855013498,0.9941686152467598,0.6613471802135517,0.4033051692934468,0.8171993099835545,0.8263896313432377
0.6784121107451088,1.0,0.8491845177782772,0.8401900992822062,0.6767903390151209,0.9920799213946604,0.8434616985162353,0.837519970680144,0.6758022974763241,0.9861153220759117,0.838760750880574,0.8351868507614998,0.6741197304375162,0.9789490836460121,0.8330577023349902,0.8323986312785842,0.8361301098683847
0.4151347260663903,0.8491845177782772,1.0,0.738900490112853,0.4140583510177387,0.8456190487257421,0.9948768169191424,0.7377999624645251,0.4131925684427929,0.8429964981786712,0.9904420332496667,0.736825376739754,0.41186049864235036,0.8399461942740477,0.9856444498370744,0.7356243552414452,0.7335252815141969
0.8269421653090572,0.8401900992822062,0.738900490112853,1.0,0.8259340828847218,0.8358439327443156,0.733722381755856,0.9966913695779025,0.8250477801406908,0.8318838569530114,0.7288474852381184,0.9933449055624523,0.8239156730900036,0.8280905268327511,0.7237200262132927,0.9898155227947768,0.9966934984404893
0.9980289279745276,0.6767903390151209,0.4140583510177387,0.8259340828847218,1.0,0.6770245285089665,0.41467124397685046,0.8263957169190571,0.9980280417879314,0.6710214185257134,0.41059943779919306,0.8232300194966101,0.9961619539135157,0.6656925695710005,0.4067498142915545,0.819986356320849,0.8254648219652357
0.6725388409410885,0.9920799213946604,0.8456190487257421,0.8358439327443156,0.6770245285089665,1.0,0.8494779791180322,0.8399710768312568,0.6755047838994505,0.9920872301283942,0.8438548657526186,0.8374265550627116,0.6741965553108341,0.9861394070809931,0.8389756584667476,0.8350564274698653,0.8322445717759916
0.41116362861755285,0.8434616985162353,0.9948768169191424,0.733722381755856,0.41467124397685046,0.8494779791180322,1.0,0.7391712426955155,0.4136441844086425,0.8458658828192442,0.99487040563519,0.7381169012120787,0.4125885506260397,0.843358115956241,0.9904688139708053,0.7371734402239203,0.7286766971140811
0.8238708923839859,0.837519970680144,0.7377999624645251,0.9966913695779025,0.8263957169190571,0.8399710768312568,0.7391712426955155,1.0,0.8254364181899224,0.835562906698454,0.7339795180525283,0.9966826667251215,0.8243831332012079,0.8316711749826993,0.7289928654076427,0.9933387844743196,0.9933702430955456
0.9961743632474379,0.6758022974763241,0.4131925684427929,0.8250477801406908,0.9980280417879314,0.6755047838994505,0.4136441844086425,0.8254364181899224,1.0,0.6756113137199925,0.4141651468885377,0.8258096920236366,0.9980171737654098,0.6697306273156727,0.4099947995366028,0.8226358672211929,0.8244756139877599
0.6670923333321418,0.9861153220759117,0.8429964981786712,0.8318838569530114,0.6710214185257134,0.9920872301283942,0.8458658828192442,0.835562906698454,0.6756113137199925,1.0,0.8498296832799136,0.839825222636783,0.6737542937426619,0.9920971567702447,0.8440225983082161,0.8372448301826029,0.8283608440744096
0.407421176851893,0.838760750880574,0.9904420332496667,0.7288474852381184,0.41059943779919306,0.8438548657526186,0.99487040563519,0.7339795180525283,0.4141651468885377,0.8498296832799136,1.0,0.7394929353839876,0.41291934079857195,0.8463098247999251,0.9948848078572218,0.7384648696460278,0.7236375485054927
0.8206429855013498,0.8351868507614998,0.736825376739754,0.9933449055624523,0.8232300194966101,0.8374265550627116,0.7381169012120787,0.9966826667251215,0.8258096920236366,0.839825222636783,0.7394929353839876,1.0,0.824665552133805,0.8354732690588655,0.7341828084581977,0.9966873297862955,0.9898281962174386
0.9941686152467598,0.6741197304375162,0.41186049864235036,0.8239156730900036,0.9961619539135157,0.6741965553108341,0.4125885506260397,0.8243831332012079,0.9980171737654098,0.6737542937426619,0.41291934079857195,0.824665552133805,1.0,0.6739937703100618,0.41334293486210566,0.8250255879032952,0.8231484335658222
0.6613471802135517,0.9789490836460121,0.8399461942740477,0.8280905268327511,0.6656925695710005,0.9861394070809931,0.843358115956241,0.8316711749826993,0.6697306273156727,0.9920971567702447,0.8463098247999251,0.8354732690588655,0.6739937703100618,1.0,0.8500714839265817,0.8396851331360217,0.8246396832330566
0.4033051692934468,0.8330577023349902,0.9856444498370744,0.7237200262132927,0.4067498142915545,0.8389756584667476,0.9904688139708053,0.7289928654076427,0.4099947995366028,0.8440225983082161,0.9948848078572218,0.7341828084581977,0.41334293486210566,0.8500714839265817,1.0,0.7397037272480156,0.7183463390438409
0.8171993099835545,0.8323986312785842,0.7356243552414452,0.9898155227947768,0.819986356320849,0.8350564274698653,0.7371734402239203,0.9933387844743196,0.8226358672211929,0.8372448301826029,0.7384648696460278,0.9966873297862955,0.8250255879032952,0.8396851331360217,0.7397037272480156,1.0,0.9862397074513036
0.8263896313432377,0.8361301098683847,0.7335252815141969,0.9966934984404893,0.8254648219652357,0.8322445717759916,0.7286766971140811,0.9933702430955456,0.8244756139877599,0.8283608440744096,0.7236375485054927,0.9898281962174386,0.8231484335658222,0.8246396832330566,0.7183463390438409,0.9862397074513036,1.0
