t,Date,XOM,CVX,COP,EOG
98,6/7/16,90.709999,103.32,47.540001000000004,85.41999799999999
99,6/8/16,90.790001,103.089996,47.490002000000004,85.360001
100,6/9/16,90.66999799999999,102.809998,46.57,84.58000200000001
101,6/10/16,89.980003,101.980003,44.509997999999996,81.559998
102,6/13/16,90.589996,102.099998,43.880001,81.389999
103,6/14/16,90.43,101.279999,44.32,82.980003
104,6/15/16,90.160004,100.629997,43.709998999999996,82.440002
105,6/16/16,91.220001,101.07,43.16,80.18
106,6/17/16,90.720001,101.57,44.150002,80.889999
107,6/20/16,91.120003,102.610001,44.689999,83.190002
108,6/21/16,91.529999,103.239998,44.799999,84.910004
109,6/22/16,91.16999799999999,102.290001,43.990002000000004,83.599998
110,6/23/16,91.800003,104.440002,45.630001,84.5
111,6/24/16,89.389999,101.900002,43.169998,81.059998
112,6/27/16,88.860001,100.360001,40.779999,78.589996
113,6/28/16,90.910004,101.629997,41.950001,81.75
114,6/29/16,92.459999,103.41999799999999,43.91,83.440002
115,6/30/16,93.739998,104.83000200000001,43.599998,83.41999799999999
116,7/1/16,93.839996,104.150002,43.509997999999996,84.779999
117,7/5/16,93.019997,103.57,41.700001,82.760002
118,7/6/16,94.089996,104.58000200000001,41.900002,82.760002
119,7/7/16,92.959999,103.050003,41.509997999999996,81.610001
120,7/8/16,93.540001,104.769997,42.299999,82.540001
121,7/11/16,93.889999,105.389999,42.450001,82.900002
122,7/12/16,94.949997,106.779999,43.799999,85.139999
123,7/13/16,94.879997,106.650002,42.869999,83.839996
124,7/14/16,94.949997,106.699997,43.02,84.629997
125,7/15/16,95.120003,107.029999,42.939999,84.099998
126,7/18/16,94.82,106.089996,42.709998999999996,83.25
127,7/19/16,94.470001,106.040001,41.91,82.040001
128,7/20/16,93.93,105.589996,42.029999,82.110001
129,7/21/16,93.849998,105.389999,41.040001000000004,81.489998
130,7/22/16,94.010002,105.660004,40.759997999999996,80.980003
131,7/25/16,92.199997,103.07,40.240002000000004,78.75
132,7/26/16,91.529999,102.68,40.790001000000004,80.449997
133,7/27/16,90.910004,102.260002,40.07,79.779999
134,7/28/16,90.199997,101.790001,40.259997999999996,79.900002
135,7/29/16,88.949997,102.480003,40.82,81.699997
136,8/1/16,85.860001,99.110001,39.610001000000004,78.699997
137,8/2/16,87.040001,99.589996,39.790001000000004,79.889999
138,8/3/16,87.489998,100.610001,40.310001,82.370003
139,8/4/16,87.480003,100.389999,40.099998,84.239998
140,8/5/16,87.559998,100.510002,40.599998,90.160004
141,8/8/16,88.589996,101.199997,41.560001,90.660004
142,8/9/16,88.699997,101.32,41.240002000000004,90.379997
